# x_m, y_m, w_tr_right_m, w_tr_left_m
30.9962,84.7154,7.1,7.1
30.9321,84.6387,7.1,7.1
30.8681,84.5619,7.2,7.2
30.8043,84.4849,7.1,7.1
30.7406,84.4078,7.1,7.1
30.6772,84.3305,7.1,7.1
30.6144,84.2527,7.1,7.1
30.5521,84.1745,7.1,7.1
30.4900,84.0961,7.1,7.1
30.4282,84.0176,7.1,7.1
30.3667,83.9387,7.1,7.1
30.3059,83.8593,7.1,7.1
30.2454,83.7797,7.1,7.1
30.1852,83.6999,7.1,7.1
30.1251,83.6200,7.1,7.1
30.0651,83.5400,7.0,7.0
30.0060,83.4594,7.1,7.1
29.9475,83.3783,7.1,7.1
29.8890,83.2972,7.1,7.1
29.8305,83.2161,7.0,7.0
29.7727,83.1345,7.1,7.1
29.7157,83.0524,7.1,7.1
29.6588,82.9702,7.1,7.1
29.6022,82.8878,7.0,7.0
29.5461,82.8050,7.1,7.1
29.4900,82.7223,7.0,7.0
29.4344,82.6392,7.1,7.1
29.3794,82.5557,7.0,7.0
29.3248,82.4719,7.0,7.0
29.2703,82.3881,7.0,7.0
29.2161,82.3041,7.0,7.0
29.1623,82.2198,7.0,7.0
29.1087,82.1354,7.0,7.0
29.0554,82.0508,6.9,6.9
29.0028,81.9658,7.0,7.0
28.9505,81.8805,7.0,7.0
28.8988,81.7950,7.0,7.0
28.8473,81.7093,7.0,7.0
28.7959,81.6236,7.0,7.0
28.7453,81.5373,7.0,7.0
28.6954,81.4507,6.9,6.9
28.6455,81.3640,7.0,7.0
28.5959,81.2772,7.0,7.0
28.5470,81.1900,6.9,6.9
28.4986,81.1025,7.0,7.0
28.4506,81.0148,6.9,6.9
28.4027,80.9270,7.0,7.0
28.3551,80.8391,7.0,7.0
28.3079,80.7510,6.9,6.9
28.2608,80.6628,7.0,7.0
28.2139,80.5745,6.9,6.9
28.1675,80.4859,6.9,6.9
28.1215,80.3972,7.0,7.0
28.0761,80.3081,6.9,6.9
28.0313,80.2187,6.9,6.9
27.9867,80.1292,6.8,6.8
27.9422,80.0397,6.9,6.9
27.8985,79.9498,6.9,6.9
27.8555,79.8595,6.9,6.9
27.8127,79.7691,6.9,6.9
27.7700,79.6787,6.9,6.9
27.7277,79.5882,6.9,6.9
27.6855,79.4975,6.9,6.9
27.6435,79.4068,6.9,6.9
27.6018,79.3159,6.8,6.8
27.5605,79.2249,6.9,6.9
27.5195,79.1337,6.8,6.8
27.4789,79.0423,6.9,6.9
27.4390,78.9506,6.9,6.9
27.3995,78.8588,6.8,6.8
27.3601,78.7669,6.8,6.8
27.3213,78.6747,6.9,6.9
27.2835,78.5822,6.8,6.8
27.2460,78.4895,6.8,6.8
27.2085,78.3968,6.9,6.9
27.1711,78.3041,6.9,6.9
27.1340,78.2113,6.8,6.8
27.0972,78.1183,6.8,6.8
27.0606,78.0252,6.9,6.9
27.0243,77.9321,6.8,6.8
26.9883,77.8388,6.9,6.9
26.9526,77.7454,6.9,6.9
26.9178,77.6517,6.8,6.8
26.8834,77.5578,6.8,6.8
26.8491,77.4639,6.9,6.9
26.8151,77.3699,6.9,6.9
26.7812,77.2758,6.8,6.8
26.7484,77.1814,6.8,6.8
26.7158,77.0869,6.9,6.9
26.6832,76.9923,6.8,6.8
26.6509,76.8977,6.8,6.8
26.6187,76.8031,6.8,6.8
26.5866,76.7084,6.9,6.9
26.5546,76.6137,6.8,6.8
26.5232,76.5187,6.8,6.8
26.4924,76.4236,6.9,6.9
26.4615,76.3285,6.8,6.8
26.4308,76.2334,6.8,6.8
26.3999,76.1383,6.8,6.8
26.3697,76.0430,6.9,6.9
26.3401,75.9475,6.8,6.8
26.3103,75.8520,6.8,6.8
26.2807,75.7565,6.8,6.8
26.2518,75.6608,6.9,6.9
26.2231,75.5650,6.8,6.8
26.1943,75.4693,6.8,6.8
26.1656,75.3735,6.9,6.9
26.1377,75.2775,6.9,6.9
26.1105,75.1813,6.8,6.8
26.0835,75.0850,6.8,6.8
26.0562,74.9889,6.9,6.9
26.0291,74.8926,6.8,6.8
26.0027,74.7962,6.8,6.8
25.9761,74.6998,6.8,6.8
25.9501,74.6033,6.9,6.9
25.9242,74.5067,6.8,6.8
25.8984,74.4101,6.8,6.8
25.8732,74.3133,6.8,6.8
25.8478,74.2166,6.8,6.8
25.8221,74.1200,6.8,6.8
25.7970,74.0233,6.8,6.8
25.7721,73.9264,6.8,6.8
25.7470,73.8296,6.8,6.8
25.7217,73.7329,6.8,6.8
25.6970,73.6360,6.8,6.8
25.6731,73.5389,6.8,6.8
25.6491,73.4419,6.8,6.8
25.6251,73.3448,6.8,6.8
25.6016,73.2476,6.8,6.8
25.5778,73.1505,6.8,6.8
25.5547,73.0533,6.8,6.8
25.5313,72.9561,6.7,6.7
25.5087,72.8587,6.8,6.8
25.4870,72.7611,6.8,6.8
25.4648,72.6636,6.8,6.8
25.4423,72.5662,6.8,6.8
25.4204,72.4686,6.7,6.7
25.3983,72.3711,6.7,6.7
25.3762,72.2736,6.8,6.8
25.3547,72.1759,6.8,6.8
25.3336,72.0782,6.7,6.7
25.3119,71.9806,6.7,6.7
25.2908,71.8829,6.7,6.7
25.2695,71.7852,6.8,6.8
25.2480,71.6876,6.8,6.8
25.2273,71.5897,6.7,6.7
25.2079,71.4917,6.7,6.7
25.1879,71.3937,6.7,6.7
25.1675,71.2958,6.7,6.7
25.1472,71.1979,6.8,6.8
25.1274,71.0999,6.7,6.7
25.1078,71.0019,6.7,6.7
25.0878,70.9039,6.7,6.7
25.0683,70.8059,6.7,6.7
25.0482,70.7079,6.6,6.6
25.0290,70.6098,6.7,6.7
25.0104,70.5116,6.7,6.7
24.9912,70.4134,6.7,6.7
24.9726,70.3152,6.7,6.7
24.9534,70.2171,6.7,6.7
24.9343,70.1189,6.6,6.6
24.9158,70.0207,6.7,6.7
24.8973,69.9224,6.7,6.7
24.8784,69.8243,6.7,6.7
24.8599,69.7260,6.7,6.7
24.8408,69.6279,6.7,6.7
24.8229,69.5295,6.7,6.7
24.8050,69.4311,6.8,6.8
24.7868,69.3328,6.7,6.7
24.7689,69.2345,6.7,6.7
24.7503,69.1362,6.7,6.7
24.7321,69.0379,6.7,6.7
24.7143,68.9395,6.7,6.7
24.6962,68.8412,6.7,6.7
24.6778,68.7429,6.8,6.8
24.6600,68.6445,6.7,6.7
24.6433,68.5460,6.7,6.7
24.6260,68.4475,6.7,6.7
24.6087,68.3490,6.7,6.7
24.5920,68.2504,6.7,6.7
24.5751,68.1519,6.7,6.7
24.5577,68.0534,6.8,6.8
24.5406,67.9549,6.8,6.8
24.5239,67.8563,6.8,6.8
24.5074,67.7577,6.7,6.7
24.4911,67.6591,6.7,6.7
24.4752,67.5604,6.7,6.7
24.4593,67.4617,6.7,6.7
24.4427,67.3631,6.8,6.8
24.4265,67.2644,6.8,6.8
